Mora,6.000
Lulo,6.000
Borojo,6.000
Mango,6.000
Guanabana,6.000
Uva,6.000
Fresa,6.000
Maracuya,6.000
Tomate de arbol,6.000
Mandarina,6.000
Piña,6.000
Guayaba,6.000
Coco,6.000
Banano,6.000
Naranja - Piña ,7.000
Mandarina - Fresa ,7.000
Mandarina - Lulo ,7.000
Fresa - Mora ,7.000
Uva -Fresa ,7.000
Maracuya - Mango ,7.000
Lulo - Maracuya ,7.000
Fresa - Mango ,7.000
Mora - Uva ,7.000
Piña - Mandarina ,7.000
Mango - Piña ,7.000
Fresa - Piña ,7.000
Uva - Fresa - Mora ,8.000
Limon - Fresa - Sandia ,8.000
Lulo - Maracuya - Piña ,8.000
Mango - Piña - Fresa ,8.000
Mora en leche,7.000
Lulo en leche,7.000
Borojo en leche,7.000
Mango en leche,7.000
Guanabana en leche,7.000
Uva en leche,7.000
Fresa en leche,7.000
Maracuya en leche,7.000
Tomate de arbol en leche,7.000
Mandarina en leche,7.000
Piña en leche,7.000
Guayaba en leche,7.000
Coco en leche,7.000
Banano en leche,7.000
Naranja - Piña  en leche,8.000
Mandarina - Fresa  en leche,8.000
Mandarina - Lulo  en leche,8.000
Fresa - Mora  en leche,8.000
Uva -Fresa  en leche,8.000
Maracuya - Mango  en leche,8.000
Lulo - Maracuya  en leche,8.000
Fresa - Mango  en leche,8.000
Mora - Uva  en leche,8.000
Piña - Mandarina  en leche,8.000
Mango - Piña  en leche,8.000
Fresa - Piña  en leche,8.000
Uva - Fresa - Mora  en leche,9.000
Limon - Fresa - Sandia  en leche,9.000
Lulo - Maracuya - Piña  en leche,9.000
Mango - Piña - Fresa  en leche,9.000
Milo,7.000
Milo - Fresa,8.000
Milo - Banano,8.000
Milo - Borojo,8.000
Milo - Guanabana,8.000
Limonada natural,6.000
Limonada de lulo,7.000
Limonada de fresa,7.000
Limonada de maracuya,7.000
Limonada de cereza,7.000
Limonada de mango,7.000
Limonada de mandarina,7.000
Limonada de coco,7.000
Soda michelada,6.000
Michelada Manzana Verde,8.000
Michelada Mango Biche,8.000
Michelada Sandia,8.000
Michelada Maracuya,8.000
Michelada Frutos Rojos,8.000
Michelada Cereza,8.000
Michelada Pilsen,7.000
Michelada Pilsen Frutal,9.000
Michelada Aguila Light,7.000
Michelada Aguila Light Frutal,9.000
Adiciones de pulpa,2.000
Adiciones de Mero Macho,2.000
Adiciones de Kola Granulada,3.000
Adiciones de Ginseng,2.000
Adiciones de Arrechon,2.000
Adiciones de 180,2.000
Adiciones de Vitacerebrina,2.000
Adiciones de Rinho,2.000
Adiciones de Proteina,4.000
Adiciones de Leche,2.000
Adiciones de Limon,1.000
Adiciones de Bretaña,4.000
Vasos para micheladas,1.000
Vasos para jugos,1.000
Pitillos,1.000
Pilsen,4.000
Aguila Light,4.000
Adiciones de Mora,2.000
Adiciones de Lulo,2.000
Adiciones de Borojo,2.000
Adiciones de Mango,2.000
Adiciones de Guanabana,2.000
Adiciones de Uva,2.000
Adiciones de Fresa,2.000
Adiciones de Maracuya,2.000
Adiciones de Tomate de Arbol,2.000
Adiciones de Mandarina,2.000
Adiciones de Piña,2.000
Adiciones de Guayaba,2.000
Adiciones de Coco,2.000
Adiciones de Banano,2.000
Adiciones de Vitafer,2.000
Milo - Coco,8.000
Gatorade,4.000
Agua,2.000
Aguila Ligth Litro,8.000
Milo - Cereza,8.000
Rollo,2.000
Pilsen Litro,8.000
Torta,2.000
Pastel,2.000
Proteina,6.000
Limonada de coco en leche,8.000
Banano - Coco ,7.000
Banano - Coco  en leche,8.000
Caja Aguardiente Azul,70.000
Maracuya - Mango - Lulo ,8.000
Maracuya - Mango - Lulo  en leche,9.000
Uniforme Camisilla,50.000
Uniforme Sudadera,75.000
Uniforme Chaqueta,80.000
Uniforme Conjunto Femenino,190.000
Uniforme Hombre,70.000
Rodillera Espuma,55.000
Rodillera Gel,65.000
Mangas,35.000
Uniforme Entrenamiento,30.000
Uniforme Baile,60.000
Balones,180.000
Vaso michelado,2.000
